Name,Kingdom,Locations,Update Dates
Lung oyster,fungi,"46.587381, -82.701294,46.587392, -82.701333,46.587383, -82.701339,44.299172, -78.267211,44.299339, -78.267456,44.299328, -78.267456,44.299331, -78.267447,44.007181, -78.777969,44.007197, -78.777961,44.007236, -78.777978","2023:08:22 14:08:25,2023:08:22 14:08:44,2023:08:22 14:08:51,2023:09:03 15:50:42,2023:09:03 15:50:57,2023:09:03 15:51:03,2023:09:03 15:51:09,2024:05:04 15:30:16,2024:05:04 15:30:22,2024:05:04 15:30:36"
Mealy shadow lichen,fungi,"43.871306, -79.135831",2024:04:30 12:41:23
Mica Cap,fungi,"43.634443, -79.970757,45.785603, -82.714608,45.785950, -82.714164,43.814114, -79.155849,43.814114, -79.155849,44.082676, -79.455582,44.082677, -79.455585,44.082687, -79.455290,44.082687, -79.455292,44.082687, -79.455292,44.082705, -79.455430","2022:05:21 14:49:41,2023:08:23 17:35:56,2023:08:23 17:36:10,2024:04:24 15:10:17,2024:04:24 15:10:21,2024:05:14 12:01:48,2024:05:14 12:02:08,2024:05:14 12:02:57,2024:05:14 12:03:06,2024:05:14 12:03:15,2024:05:14 12:03:29"
Milk-white Toothed Polypore,fungi,"46.259072, -74.250406",2023:12:29 13:46:47
Mossy maple polypore,fungi,"42.952050, -81.391053,42.952050, -81.391044,46.343089, -74.498178,46.343086, -74.498192","2022:12:30 15:12:11,2022:12:30 15:12:24,2023:12:28 14:43:30,2023:12:28 14:43:37"
Mossy maze polypore,fungi,"44.622886, -78.863892,44.622925, -78.863953,43.818169, -79.164458,43.818175, -79.164444,43.818189, -79.164453,43.991661, -79.197456,43.991660, -79.197458,43.991554, -79.197479","2023:09:17 15:30:46,2023:09:17 15:30:58,2023:12:10 14:08:33,2023:12:10 14:08:42,2023:12:10 14:08:48,2024:05:03 14:38:20,2024:05:03 14:38:41,2024:05:03 14:39:42"
Mousepee Pinkgill,fungi,"43.828994, -81.459922,43.828950, -81.459900","2022:08:27 11:32:34,2022:08:27 11:32:52"
Nitrous bonnet,fungi,"45.909547, -80.565406,45.909547, -80.565406","2023:08:25 12:35:08,2023:08:25 12:35:20"
Northern tooth,fungi,"46.587753, -82.676156,46.587953, -82.676156,46.587978, -82.676169","2023:08:22 15:41:21,2023:08:22 15:41:29,2023:08:22 15:41:35"
Oak bracket,fungi,"44.331907, -79.316396",2023:09:30 15:33:07
Old Man of the Woods,fungi,"42.703739, -80.333697",2022:08:14 17:40:24
Orange Jelly,fungi,"44.076457, -80.872251,44.076457, -80.872251,45.784911, -82.698836,45.784919, -82.698831,45.784919, -82.698844,46.721764, -79.811997,44.622864, -78.863914,46.183731, -74.565803,46.184761, -74.563264,44.047203, -79.091636,44.047428, -79.091811,43.812152, -79.153898,44.084827, -79.358931,44.084827, -79.358931,44.006912, -79.090919,44.007095, -79.090965,44.007095, -79.090965","2023:02:20 16:12:42,2023:02:20 16:12:49,2023:08:23 16:34:12,2023:08:23 16:34:23,2023:08:23 16:34:30,2023:08:24 16:48:20,2023:09:17 15:30:28,2023:12:27 11:34:44,2023:12:27 12:04:33,2024:02:03 14:31:56,2024:02:03 15:16:26,2024:04:28 14:18:12,2024:04:30 09:56:00,2024:04:30 09:56:07,2024:05:08 15:33:18,2024:05:08 15:33:24,2024:05:08 15:33:44"
Oyster mushroom,fungi,"43.719003, -81.694939,43.718997, -81.694939,43.718997, -81.694969,43.718994, -81.694939,44.744339, -79.852678,44.744369, -79.852683,44.744369, -79.852753,44.744358, -79.852714","2022:11:13 14:31:15,2022:11:13 14:31:24,2022:11:13 14:32:36,2022:11:13 14:33:14,2023:12:25 11:57:19,2023:12:25 11:57:37,2023:12:25 11:57:47,2023:12:25 11:57:53"
Painted bolete,fungi,"46.017067, -80.586486,46.017094, -80.586578,46.017108, -80.586608,46.017108, -80.586608,46.016997, -80.587067,46.016997, -80.587028,46.017361, -80.591544,46.017400, -80.591592,46.017344, -80.591628,46.017372, -80.591658,46.017436, -80.592292,46.017442, -80.592286,46.017456, -80.592278,45.797456, -82.734658,45.797286, -82.734589,45.797281, -82.734558,46.722111, -79.820739,46.722039, -79.820769,46.714844, -79.819031,46.714764, -79.819031,46.718456, -79.813872,46.718431, -79.813897,46.718411, -79.813903,45.924039, -80.556572,45.923583, -80.556214,45.923408, -80.556100,45.923419, -80.556061,45.923425, -80.556031","2023:08:21 15:48:31,2023:08:21 15:48:37,2023:08:21 15:49:00,2023:08:21 15:49:19,2023:08:21 15:51:20,2023:08:21 15:51:39,2023:08:21 16:13:23,2023:08:21 16:13:38,2023:08:21 16:14:40,2023:08:21 16:14:57,2023:08:21 16:16:25,2023:08:21 16:16:30,2023:08:21 16:16:38,2023:08:23 14:09:39,2023:08:23 14:09:54,2023:08:23 14:10:04,2023:08:24 15:32:10,2023:08:24 15:32:20,2023:08:24 16:11:44,2023:08:24 16:11:51,2023:08:24 16:34:04,2023:08:24 16:34:13,2023:08:24 16:34:28,2023:08:25 11:51:38,2023:08:25 11:57:51,2023:08:25 11:59:41,2023:08:25 11:59:50,2023:08:25 12:00:31"
Pear-shaped puffball,fungi,"46.584583, -82.706497,46.584603, -82.706519,46.402283, -72.661081,46.402292, -72.661094","2023:08:22 13:42:07,2023:08:22 13:42:26,2023:10:09 11:30:35,2023:10:09 11:30:37"
Peeling oysterling,fungi,"43.990094, -77.731781,43.990094, -77.731781,43.977512, -78.643052,43.977600, -78.643113","2023:10:29 17:06:43,2023:10:29 17:06:52,2024:05:07 12:15:05,2024:05:07 12:15:24"
Peppered rock-shield,fungi,"45.001827, -79.522438",2024:05:11 00:31:52
Pinwheel mushroom,fungi,"43.882142, -81.494056,43.882164, -81.493989","2022:09:08 11:26:50,2022:09:08 11:27:04"
Poplar milkcap,fungi,"44.624747, -78.861900,44.624650, -78.861953","2023:09:17 15:20:35,2023:09:17 15:20:48"
Red-banded cortinarius,fungi,"46.584192, -82.674269,46.584178, -82.674269,46.584167, -82.674247,46.584106, -82.674239,46.726772, -79.810378,46.726772, -79.810378,46.717114, -79.814064,46.717214, -79.814094","2023:08:22 16:04:46,2023:08:22 16:04:52,2023:08:22 16:05:50,2023:08:22 16:05:58,2023:08:24 14:49:00,2023:08:24 14:49:07,2023:08:24 16:29:46,2023:08:24 16:30:05"
Red-belted polypore,fungi,"45.781978, -82.700553,45.781922, -82.700553,45.782800, -82.710450,45.784981, -82.712744,46.725036, -79.813531,46.725033, -79.813592,46.724686, -79.814072,46.724747, -79.814011,46.722753, -79.811722,46.722753, -79.811731,46.343297, -74.499528,46.343283, -74.499528,46.343303, -74.499497,46.343308, -74.499497,46.343328, -74.499497,43.973808, -78.633339,43.973810, -78.633337","2023:08:23 16:24:28,2023:08:23 16:24:42,2023:08:23 17:32:17,2023:08:23 17:32:25,2023:08:24 15:06:06,2023:08:24 15:06:10,2023:08:24 15:07:08,2023:08:24 15:07:12,2023:08:24 16:51:16,2023:08:24 16:51:20,2023:12:28 14:49:16,2023:12:28 14:49:19,2023:12:28 14:49:40,2023:12:28 14:49:46,2023:12:28 14:50:06,2024:05:07 10:47:09,2024:05:07 10:47:18"
Red-capped scaber stalk,fungi,"44.433869, -79.757814,44.433858, -79.757881,44.444550, -79.750314,44.433753, -79.758050","2022:09:05 17:08:09,2022:09:05 17:08:16,2022:09:05 17:11:07,2022:09:05 17:12:12"
Red-eyed Parasol,fungi,"43.827208, -81.459594,43.827217, -81.459556,43.827206, -81.459489","2022:08:27 11:43:49,2022:08:27 11:44:00,2022:08:27 11:44:19"
Resinous polypore,fungi,"46.589089, -82.687897,46.589078, -82.687936,44.300144, -78.268953,44.300208, -78.268906,44.300228, -78.268875,44.300256, -78.268822,44.300256, -78.268814,44.300297, -78.268836,44.300292, -78.268844,44.300289, -78.268853,44.300286, -78.268853","2023:08:22 15:10:43,2023:08:22 15:10:55,2023:09:03 15:21:56,2023:09:03 15:22:03,2023:09:03 15:22:12,2023:09:03 15:22:41,2023:09:03 15:22:46,2023:09:03 15:23:21,2023:09:03 15:23:26,2023:09:03 15:23:37,2023:09:03 15:23:43"
Rooting Polypore,fungi,"43.689769, -81.587089,43.689669, -81.586861","2022:08:27 13:35:56,2022:08:27 13:36:12"
Rosy russula,fungi,"43.833906, -81.457686,43.833978, -81.457686,44.436775, -79.759597,44.436767, -79.759536,46.017181, -80.594169,46.017169, -80.594208,46.585056, -82.674903,46.585053, -82.674889,46.719478, -79.813286,46.719489, -79.813347,46.719883, -79.813239,46.719883, -79.813208,45.916200, -80.550567,45.916194, -80.550561,45.915417, -80.553178,45.915486, -80.553208","2022:09:05 10:23:57,2022:09:05 10:24:35,2022:09:05 16:24:33,2022:09:05 16:26:29,2023:08:21 16:26:15,2023:08:21 16:26:21,2023:08:22 15:58:36,2023:08:22 15:58:41,2023:08:24 16:39:45,2023:08:24 16:39:51,2023:08:24 16:41:18,2023:08:24 16:41:24,2023:08:25 12:56:24,2023:08:25 12:56:37,2023:08:25 13:17:50,2023:08:25 13:17:58"
Rusty gilled polypore,fungi,"46.330969, -74.499764,46.330822, -74.499747","2023:12:28 11:43:30,2023:12:28 11:43:35"
Saffron milk cap,fungi,"44.302350, -78.267425,44.302344, -78.267425","2023:09:03 15:40:26,2023:09:03 15:40:31"
Salmon pinkgill,fungi,"46.584994, -82.706392,46.584644, -82.706481,46.723728, -79.816514,46.723728, -79.816514,46.723728, -79.816519,46.723728, -79.816519,46.723717, -79.816519,46.723717, -79.816519,46.720433, -79.822503,46.720317, -79.822228,46.715825, -79.814292,46.715875, -79.814292","2023:08:22 13:41:19,2023:08:22 13:41:28,2023:08:24 15:17:55,2023:08:24 15:17:55,2023:08:24 15:18:01,2023:08:24 15:18:01,2023:08:24 15:18:11,2023:08:24 15:18:11,2023:08:24 15:42:04,2023:08:24 15:42:10,2023:08:24 16:24:52,2023:08:24 16:24:59"
Scaly ink cap,fungi,"44.294597, -77.797958,44.294650, -77.798019,44.294639, -77.797989","2023:09:09 17:01:54,2023:09:09 17:02:13,2023:09:09 17:02:37"
Scarlet cup,fungi,"44.085266, -79.343649,44.085266, -79.343649","2024:04:16 09:25:02,2024:04:16 09:36:02"
Scarlet hood,fungi,"46.587325, -82.701622,46.587283, -82.701631,46.587250, -82.701631,46.726361, -79.811303,46.726344, -79.811356,46.716494, -79.814361,46.716500, -79.814339","2023:08:22 14:06:48,2023:08:22 14:07:09,2023:08:22 14:07:14,2023:08:24 14:53:25,2023:08:24 14:53:36,2023:08:24 16:27:32,2023:08:24 16:27:45"
Scotch bonnet,fungi,"43.743911, -80.966923,43.743911, -80.966923,43.743911, -80.966923","2022:08:08 19:15:13,2022:08:08 19:15:31,2022:08:08 19:52:22"
Sharp-scaly Pholiota,fungi,"43.686581, -81.584053,43.686592, -81.584031,43.686583, -81.584061","2022:08:27 13:12:32,2022:08:27 13:13:05,2022:08:27 13:13:16"
Shining waxcap,fungi,"46.723519, -79.811272,46.723372, -79.811500","2023:08:24 16:52:52,2023:08:24 16:53:01"
Shiny cinnamon polypore,fungi,"45.916486, -80.550872,45.916500, -80.550889","2023:08:25 12:52:03,2023:08:25 12:52:19"
Silky pinkgill,fungi,"44.149411, -79.902908,44.149422, -79.902878","2023:10:28 15:27:18,2023:10:28 15:27:35"
Slippery jack,fungi,"44.149222, -79.903542,44.149231, -79.903550","2023:10:28 15:35:33,2023:10:28 15:36:05"
Slippery white bolete,fungi,"45.909594, -80.565344,45.909594, -80.565344","2023:08:25 12:40:35,2023:08:25 12:40:43"
Snowy waxcap,fungi,"44.620894, -78.866775,44.620931, -78.866767","2023:09:17 15:42:26,2023:09:17 15:42:33"
Tawny grisette,fungi,"46.587006, -82.705025,46.587047, -82.704911,46.726536, -79.810858,46.726539, -79.810867,45.909564, -80.565383,45.909564, -80.565383,45.916789, -80.552278,45.916931, -80.552283,45.916133, -80.550933,45.916053, -80.550842","2023:08:22 13:58:40,2023:08:22 13:58:51,2023:08:24 14:50:36,2023:08:24 14:50:44,2023:08:25 12:36:14,2023:08:25 12:36:20,2023:08:25 12:44:51,2023:08:25 12:45:01,2023:08:25 13:00:18,2023:08:25 13:00:24"
Timber mazegill,fungi,"43.909408, -77.275856",2024:05:12 17:58:39
Tinder fungus,fungi,"44.404047, -81.480095,43.685811, -81.583419,44.244831, -81.218492,44.921744, -78.069983,46.179856, -74.553964,46.179931, -74.554175,46.333453, -74.493431,44.084886, -79.343384,44.084886, -79.343384,44.036130, -79.104230,44.036130, -79.104230,44.034913, -79.100655,44.034908, -79.100660,44.009789, -78.781875,44.009833, -78.781914,44.004150, -78.776481,44.004161, -78.776406,45.001816, -79.522842,45.001877, -79.522804,45.001801, -79.522850,45.001789, -79.522865,44.076278, -78.497489,44.076469, -78.497567,44.078639, -78.498886,44.078647, -78.498864","2022:05:22 13:27:52,2022:08:27 13:08:53,2023:03:11 15:30:30,2023:06:03 14:45:45,2023:12:27 13:44:18,2023:12:27 13:44:30,2023:12:28 12:32:48,2024:04:16 09:33:06,2024:04:16 09:33:13,2024:05:02 13:39:06,2024:05:02 13:39:20,2024:05:02 14:40:29,2024:05:02 14:40:35,2024:05:04 15:05:31,2024:05:04 15:05:41,2024:05:04 15:57:35,2024:05:04 15:57:56,2024:05:11 00:34:45,2024:05:11 00:34:54,2024:05:11 00:35:09,2024:05:11 00:35:37,2024:05:11 16:03:52,2024:05:11 16:03:59,2024:05:11 16:14:46,2024:05:11 16:15:01"
Trembling Merulius,fungi,"43.758247, -81.701836,43.758264, -81.701881,43.758644, -81.702706,43.758622, -81.702689,44.571547, -79.330636,44.571572, -79.330628","2022:11:05 13:18:17,2022:11:05 13:18:28,2022:11:05 13:22:37,2022:11:05 13:22:53,2023:11:05 13:15:11,2023:11:05 13:15:14"
Turkey Tail,fungi,"44.483769, -80.316231,43.758850, -81.703225,43.758831, -81.703225,43.888414, -81.323914,43.719314, -81.694406,43.719278, -81.694442,42.951656, -81.396058,46.400958, -72.659294,43.811550, -79.149925,43.867203, -78.835931,43.412811, -79.759728,43.412850, -79.759697,43.412914, -79.759667,43.933396, -78.986506,43.933736, -78.986335,43.933736, -78.986335,43.857290, -79.202240,43.857290, -79.202240,44.084827, -79.358931,43.871306, -79.135831","2022:10:02 16:51:43,2022:11:05 13:24:50,2022:11:05 13:24:57,2022:11:06 15:20:13,2022:11:13 14:29:21,2022:11:13 14:29:28,2022:12:30 15:32:09,2023:10:09 11:23:50,2023:12:03 16:11:11,2023:12:16 15:14:47,2024:03:31 13:30:27,2024:03:31 13:30:31,2024:03:31 13:30:37,2024:04:28 17:46:24,2024:04:28 17:46:40,2024:04:28 17:46:47,2024:04:29 12:03:57,2024:04:29 12:04:03,2024:04:30 09:57:28,2024:04:30 12:19:54"
Variegated Russula,fungi,"43.833692, -81.456200,43.833725, -81.456239","2022:09:05 10:56:00,2022:09:05 10:56:07"
Veiled polypore,fungi,"43.801054, -79.107682,43.801054, -79.107681,44.077147, -78.502442,44.077069, -78.502556,44.077061, -78.502564,44.077061, -78.502525","2024:04:06 13:49:29,2024:04:06 13:49:36,2024:05:11 16:53:06,2024:05:11 16:53:16,2024:05:11 16:53:25,2024:05:11 16:53:54"
Velvet milkcap,fungi,"45.921967, -80.555336,45.921967, -80.555336,45.921967, -80.555336,45.921967, -80.555336,45.915936, -80.550775,45.915931, -80.550750","2023:08:25 12:12:49,2023:08:25 12:12:54,2023:08:25 12:13:00,2023:08:25 12:13:05,2023:08:25 13:00:38,2023:08:25 13:00:43"
Vermilion waxcap,fungi,"46.715964, -79.814353,46.716014, -79.814378,44.302956, -78.267669,44.302753, -78.267761,44.302742, -78.267700","2023:08:24 16:26:03,2023:08:24 16:26:13,2023:09:03 15:32:16,2023:09:03 15:32:23,2023:09:03 15:32:41"
Weeping bolete,fungi,"44.633728, -78.870422,44.633725, -78.870400,44.149414, -79.902953,44.149403, -79.902947,44.149342, -79.902947,44.149342, -79.902939,44.149353, -79.902917,44.149294, -79.903053,44.156369, -79.913864,44.156403, -79.913842","2023:09:17 16:59:22,2023:09:17 16:59:41,2023:10:28 15:28:57,2023:10:28 15:29:12,2023:10:28 15:32:08,2023:10:28 15:32:11,2023:10:28 15:32:20,2023:10:28 15:33:14,2023:10:28 16:08:48,2023:10:28 16:08:58"
White Cheese Polypore,fungi,"43.833861, -81.457336,43.833869, -81.457358","2022:09:05 10:44:04,2022:09:05 10:44:20"
White Morel,fungi,"44.524386, -76.031303,44.524386, -76.031264,44.077208, -78.501647,44.077167, -78.501678,44.077175, -78.501550,44.082563, -79.455615,44.082547, -79.455715,44.082546, -79.455711,44.082547, -79.455715,44.082546, -79.455711,44.082340, -79.455635,44.080353, -79.451628","2023:05:22 13:09:13,2023:05:22 13:09:37,2024:05:11 16:44:16,2024:05:11 16:44:39,2024:05:11 16:45:16,2024:05:14 12:14:14,2024:05:14 12:14:44,2024:05:14 12:14:55,2024:05:14 12:15:02,2024:05:14 12:15:25,2024:05:14 12:15:57,2024:05:14 12:19:23"
White Saddle,fungi,"44.675367, -81.250594,44.675336, -81.250625","2022:09:17 16:24:54,2022:09:17 16:25:01"
White coral,fungi,"46.726167, -79.811736,46.726117, -79.811669,46.723728, -79.816475,46.723739, -79.816497,45.915608, -80.551017,45.914069, -80.552392","2023:08:24 14:56:12,2023:08:24 14:56:19,2023:08:24 15:17:38,2023:08:24 15:17:48,2023:08:25 13:11:29,2023:08:25 13:11:34"
Whitewash lichen,fungi,"44.077142, -78.503364",2024:05:11 16:56:45
Wine-cap,fungi,"44.633492, -78.867767,44.633503, -78.867783,44.149258, -79.903022,44.149258, -79.903039,44.149250, -79.903053,44.149272, -79.903039,44.156186, -79.913772,44.156192, -79.913758","2023:09:17 17:04:26,2023:09:17 17:04:32,2023:10:28 15:33:29,2023:10:28 15:33:36,2023:10:28 15:33:45,2023:10:28 15:34:07,2023:10:28 16:07:39,2023:10:28 16:07:45"
Woolly velvet polypore,fungi,"44.621058, -78.866508,44.621075, -78.866517,44.621136, -78.866486","2023:09:17 15:41:03,2023:09:17 15:41:07,2023:09:17 15:41:43"
Wrinkled crust,fungi,"46.343128, -74.497742,46.343186, -74.497817,46.258411, -74.252389,46.258414, -74.252464","2023:12:28 14:40:28,2023:12:28 14:40:35,2023:12:29 13:36:35,2023:12:29 13:37:01"
Yellow Russula,fungi,"43.833817, -81.456497,43.833922, -81.456283","2022:09:05 10:57:33,2022:09:05 10:57:44"
Yellow fairy cups,fungi,"46.180469, -74.554061,46.180467, -74.554086,46.334175, -74.495781,46.334233, -74.495819","2023:12:27 13:38:55,2023:12:27 13:39:13,2023:12:28 12:21:24,2023:12:28 12:21:30"
Yellow patches,fungi,"43.834178, -81.457694,43.834106, -81.457717,45.922864, -80.555922,45.922869, -80.555931,45.916078, -80.550925,45.916033, -80.550797,45.914250, -80.552453,45.914253, -80.552392,45.927861, -80.569153,45.927861, -80.569153","2022:09:05 10:21:32,2022:09:05 10:21:52,2023:08:25 12:06:31,2023:08:25 12:06:37,2023:08:25 12:58:51,2023:08:25 12:59:03,2023:08:25 13:12:10,2023:08:25 13:12:16,2023:08:25 13:54:27,2023:08:25 13:54:35"
Yellow-tipped coral,fungi,"45.916283, -80.550583,45.916275, -80.550597","2023:08:25 12:55:02,2023:08:25 12:55:07"
Zoned hydnellum,fungi,"45.916625, -80.550567,45.916522, -80.550728,45.916503, -80.550767,45.916508, -80.550789","2023:08:25 12:52:52,2023:08:25 12:53:03,2023:08:25 12:53:10,2023:08:25 12:53:13"
Allegheny Stonecrop,plantae,"44.920978, -78.070161",2023:06:03 14:39:27
Alternate-Leaf Dogwood,plantae,"43.870316, -79.132252,43.812200, -79.153830,43.934169, -78.985948,43.857627, -79.202585,43.989507, -79.052050,43.896675, -79.060440,44.034218, -79.112808,43.991875, -79.202805,44.002411, -78.776886,44.080360, -79.310875,43.983032, -78.644897,44.005985, -79.093109,44.074581, -78.500481,44.059475, -79.327446","2024:04:24 14:49:13,2024:04:28 13:33:02,2024:04:28 17:47:01,2024:04:29 12:15:26,2024:04:30 08:44:49,2024:05:01 13:51:31,2024:05:02 13:11:03,2024:05:03 14:12:53,2024:05:04 14:31:05,2024:05:06 17:43:50,2024:05:07 09:36:27,2024:05:08 15:12:55,2024:05:11 15:50:57,2024:05:14 13:30:06"
American Beach Grass,plantae,"43.910042, -77.273833",2024:05:12 16:38:34
American Fly Honeysuckle,plantae,"44.036114, -79.094131,44.036411, -79.094635,44.036289, -79.094894,44.036230, -79.094640,44.076686, -78.501831","2024:05:02 14:23:21,2024:05:02 14:23:28,2024:05:02 14:24:05,2024:05:02 14:24:22,2024:05:11 16:47:28"
American Hog Peanut,plantae,"44.506222, -76.550308,43.811969, -79.152894,44.294136, -77.798042","2023:05:21 19:37:18,2023:06:27 20:45:07,2023:09:09 17:00:27"
American Hop-Hornbeam,plantae,"43.898182, -79.060974,44.036312, -79.102371,43.982487, -78.645554","2024:05:01 13:39:15,2024:05:02 13:43:12,2024:05:07 09:45:20"
American Liverwort,plantae,"44.507422, -76.552047,44.534186, -76.042258,44.085258, -79.344044,44.085258, -79.344044,43.813398, -79.153710,43.813398, -79.153710,43.812279, -79.153918,43.933304, -78.986978,43.933304, -78.986978","2023:05:21 13:57:08,2023:05:22 14:48:05,2024:04:16 10:04:19,2024:04:16 10:07:32,2024:04:28 14:17:36,2024:04:28 14:18:00,2024:04:28 14:18:05,2024:04:28 17:52:31,2024:04:28 17:53:40"
American Yellow-Rocket,plantae,"43.898525, -79.061172,44.079605, -79.312851,44.005608, -79.100258","2024:05:01 14:54:20,2024:05:06 17:57:45,2024:05:08 14:43:51"
American beech,plantae,"44.085308, -79.343826,44.084827, -79.358931,44.036322, -79.100965,44.036095, -79.095551,43.993778, -79.198723,44.008091, -79.092361,45.001312, -79.524261,44.077892, -78.498658,44.059574, -79.327522","2024:04:16 09:56:28,2024:04:30 10:14:29,2024:05:02 13:46:05,2024:05:02 14:30:19,2024:05:03 14:49:01,2024:05:08 15:39:05,2024:05:11 00:39:04,2024:05:11 16:10:54,2024:05:14 13:31:01"
American black currant,plantae,"43.872478, -78.791381,43.872458, -78.791358,43.799500, -79.109183,43.799282, -79.109974","2023:05:13 14:24:34,2023:05:13 14:24:42,2023:05:19 12:29:40,2024:04:24 14:07:12"
American elm,plantae,"43.983032, -78.644897",2024:05:07 09:36:09
American goldthread,plantae,"46.584192, -82.674269,46.714694, -79.818986","2023:08:22 16:04:46,2023:08:24 16:13:12"
American gooseberry,plantae,"44.501614, -76.548958,43.870278, -79.127319,44.630489, -78.874864,44.034003, -79.113182,43.813117, -79.155209,43.814176, -79.156064,43.814176, -79.156064,43.811890, -79.153757,43.933365, -78.986592,43.933365, -78.986592,43.857221, -79.203099,43.857259, -79.202412,44.036228, -79.101540,44.036755, -79.101288,43.991833, -79.201332,43.993050, -79.198265,44.009558, -78.783311,44.081070, -79.313148,43.983215, -78.645052,43.979519, -78.646027,44.008083, -79.093124,44.074811, -78.498169,44.074842, -78.498192,43.908214, -77.272933","2023:05:21 14:54:35,2023:07:01 20:22:38,2023:09:17 16:33:21,2024:04:15 16:46:21,2024:04:17 09:25:29,2024:04:24 15:19:54,2024:04:24 15:30:37,2024:04:28 13:37:51,2024:04:28 18:30:24,2024:04:28 18:30:42,2024:04:29 11:20:47,2024:04:29 12:05:39,2024:05:02 13:42:00,2024:05:02 13:47:50,2024:05:03 14:22:25,2024:05:03 14:45:14,2024:05:04 15:02:27,2024:05:06 18:01:36,2024:05:07 09:33:19,2024:05:07 09:55:04,2024:05:08 15:40:24,2024:05:11 15:56:11,2024:05:11 15:56:31,2024:05:12 18:09:38"
Andean Alder,plantae,"44.504064, -76.039978",2023:05:22 11:24:47
Appalachian barren strawberry,plantae,"44.501878, -76.551261,44.501736, -76.550903","2023:05:21 14:33:23,2023:05:21 14:35:36"
Apple,plantae,"44.047662, -80.078296,43.892667, -81.312712,43.883797, -81.493119,43.794747, -79.117517,43.927650, -79.229089","2022:05:21 14:11:22,2022:08:22 09:17:36,2022:09:08 11:08:45,2023:05:19 11:18:19,2024:02:10 15:17:06"
Aromatic sumac,plantae,"43.893051, -81.312518",2022:07:26 08:31:24
Ash,plantae,"43.857221, -79.203099",2024:04:29 11:24:57
Asparagus,plantae,"42.579341, -80.384408,43.849853, -79.089036,43.850361, -79.089461,43.850361, -79.089469","2022:08:14 14:53:32,2023:06:26 20:20:18,2023:06:26 20:25:25,2023:06:26 20:25:29"
Autumn olive,plantae,"43.884044, -81.494622,43.884033, -81.494628","2022:09:08 10:58:13,2022:09:08 10:58:27"
Bastard Agrimony,plantae,"44.084827, -79.358931",2024:04:30 10:38:55
Beach-pea,plantae,"43.903356, -77.283294",2024:05:12 15:28:19
Beaked Grooveburr,plantae,"43.897732, -79.062424",2024:05:01 14:49:55
Bebb's willow,plantae,"43.992409, -79.199165,43.992363, -79.199036","2024:05:03 15:03:32,2024:05:03 15:04:03"
Bird Cherry,plantae,"43.857221, -79.203099",2024:04:29 11:21:59
Bird's-foot-trefoil,plantae,"43.820132, -80.009094",2022:07:31 16:57:58
Bishop's-cap,plantae,"44.075576, -78.510099,44.081194, -78.501136,44.081150, -78.501128,44.059685, -79.326981,44.059864, -79.325897","2024:05:11 05:27:15,2024:05:11 17:21:15,2024:05:11 17:21:21,2024:05:14 13:40:46,2024:05:14 13:40:57"
Bittercress,plantae,"43.898766, -79.060165,43.991905, -79.201767,43.991905, -79.201767,44.079445, -79.312584,44.080250, -79.313095,43.974121, -78.639175,44.005547, -79.100021","2024:05:01 13:31:57,2024:05:03 14:19:47,2024:05:03 14:19:53,2024:05:06 17:56:52,2024:05:06 17:59:05,2024:05:07 12:05:17,2024:05:08 16:01:26"
Bitternut hickory,plantae,"43.632923, -81.476437",2022:08:09 16:45:35
Black chokeberry,plantae,"44.516933, -76.044717",2023:05:22 15:34:11
Black locust,plantae,"43.851403, -78.966347",2023:06:10 18:14:22
Black medick,plantae,"43.798619, -79.110589",2023:05:28 13:45:07
Black raspberry,plantae,"44.407098, -80.154099,43.890226, -81.316896,43.872058, -78.792244,43.795519, -79.117172,43.813086, -79.157181,43.874806, -78.797492,43.869628, -79.131067,43.795526, -79.116722,43.799282, -79.109974,43.869914, -79.132721,43.857267, -79.202971,43.897507, -79.060966,43.894051, -79.060974,44.078548, -79.311043,43.981342, -78.645630,44.084316, -79.455994,44.084183, -79.456055","2022:07:16 11:11:59,2022:07:17 11:27:43,2023:05:13 14:27:50,2023:06:18 15:24:37,2023:06:27 20:37:15,2023:06:28 19:54:29,2023:07:01 19:54:09,2024:04:24 13:22:00,2024:04:24 13:34:07,2024:04:24 14:47:18,2024:04:29 11:35:21,2024:05:01 13:43:22,2024:05:01 14:27:53,2024:05:06 17:52:59,2024:05:07 09:48:27,2024:05:14 12:07:38,2024:05:14 12:07:50"
Black snakeroot,plantae,"44.502242, -76.551994,44.502075, -76.551300,44.501064, -76.550286","2023:05:21 14:30:27,2023:05:21 14:33:07,2023:05:21 14:41:34"
Black walnut,plantae,"42.277825, -83.063400,43.888870, -81.318581,43.888256, -81.320136,43.799972, -79.108701,43.809406, -79.163619,43.857221, -79.203099","2021:09:05 13:25:34,2022:07:17 11:33:19,2022:08:28 18:42:13,2023:06:24 12:32:22,2023:06:27 19:55:17,2024:04:29 12:59:35"
